name,temp,dod,c_dch,soc_max,stage,cap_0,norm_cu_1,norm_cu_2,norm_cu_3,target_retention,final_retention,n_checkups
TP_z07_03,35,0.1,0.4,0.5,1,4.862,0.9970588235294117,0.9904154668860552,0.9869189633895517,0.9784245166598108,0.9621760592348827,8
TP_z07_03_s2,35,0.1,0.4,0.5,2,4.7877,0.9944649831860809,0.9887837583808509,0.9856925037074169,0.9870919230528229,0.9623201119535477,8
TP_z08_01,35,0.3,0.5,0.55,1,4.8564,0.9962729593937897,0.9896425335639568,0.9856272135738408,0.9775553908244791,0.9588172308706037,8
TP_z08_01_s2,35,0.3,0.5,0.55,2,4.7665,0.9974194901919649,0.9894471834679535,0.9846847791880836,0.9743627399559426,0.9557956571908108,8
TP_z08_02,35,0.3,0.5,0.55,1,4.864,0.9961554276315789,0.9903371710526316,0.9868009868421054,0.9784539473684211,0.9591077302631579,8
TP_z08_02_s2,35,0.3,0.5,0.55,2,4.7811,0.9954612955177679,0.9869276944636172,0.983372027357721,0.9723076279517265,0.9522285666478424,8
TP_z08_03,35,0.3,0.5,0.55,1,4.8719,0.995997454791765,0.9892444426199223,0.9854266302674521,0.9761899874792175,0.9555820111250231,8
TP_z08_03_s2,35,0.3,0.5,0.55,2,4.7782,0.9963584613452764,0.9893474530157799,0.9852036331673014,0.9768741367041982,0.9539784856222008,8
TP_z09_01,35,0.25,0.7,0.5,1,4.8693,0.9973302117347463,0.9926888875197668,0.9898753414248456,0.9835910705850943,0.9699751504323003,8
TP_z09_01_s2,35,0.25,0.7,0.5,2,4.8104,0.9977132878762682,0.9930567104606687,0.9906452685847331,0.9831406951604857,0.9709795443206387,8
TP_z09_02,35,0.25,0.7,0.5,1,4.8818,0.9973575320578475,0.9920111434307018,0.9893481912409356,0.9830185587283379,0.9682903846941702,8
TP_z09_02_s2,35,0.25,0.7,0.5,2,4.833,0.9975377612249121,0.9925512104283053,0.9897372232567764,0.9821849782743637,0.9677839851024208,8
TP_z09_03,35,0.25,0.7,0.5,1,4.8648,0.9986433152442034,0.9935660253247821,0.9900920901167573,0.984870909389903,0.9712218385134025,8
TP_z09_03_s2,35,0.25,0.7,0.5,2,4.8288,0.997722001325381,0.9929382041086812,0.9900596421471173,0.9833499005964215,0.9697647448641484,8
TP_z10_01_s2,35,0.15,0.8,0.8,2,4.8171,0.993813705341388,0.9838284444998029,0.9785348030972992,0.9676776483776547,0.9442195511822465,8
TP_z10_02,35,0.15,0.8,0.8,1,4.7652,0.9922143876437506,0.9792663476874004,0.9699907663896584,0.9430034416184,0.9430034416184,5
TP_z10_02_s2,35,0.15,0.8,0.8,2,4.8249,0.9932226574644034,0.9820928931169557,0.9766005513067627,0.9650977222325852,0.9435221455366949,8
TP_z10_03,35,0.15,0.8,0.8,1,4.8216,0.9928239588518334,0.9813754770200762,0.9765845362535258,0.9660278745644599,0.9449975111996017,8
TP_z10_03_s2,35,0.15,0.8,0.8,2,4.7552,0.9923241924629879,0.9806527590847913,0.9713366419919246,0.948961137281292,0.926038862718708,6
TP_z11_01,35,0.15,0.9,0.35,1,4.8439,0.9980800594562234,0.9941163112368134,0.9919279919073475,0.985652057226615,0.9732034104750306,8
TP_z11_01_s2,35,0.15,0.9,0.35,2,4.7756,0.9962099003266606,0.9879596281095568,0.9833738169025882,0.973259904514616,0.9522573079822432,8
TP_z11_02,35,0.15,0.9,0.35,1,4.7973,0.9978321138974007,0.9932878911054136,0.9908907093573468,0.9844704312842641,0.9717341004314927,8
TP_z11_02_s2,35,0.15,0.9,0.35,2,4.7786,0.9963587661658225,0.9883020131419243,0.9836772276398945,0.9731929853932114,0.9514292889130708,8
TP_z11_03,35,0.15,0.9,0.35,1,4.7997,0.9976456861887203,0.9929995624726545,0.9909369335583474,0.9852282434318812,0.9737275246369567,8
TP_z11_03_s2,35,0.15,0.9,0.35,2,4.7713,0.9961645673087,0.9869846792278834,0.9835474608597238,0.9719992454886508,0.9520466120344561,8
TP_z12_01,35,0.05,1.0,0.35,1,4.8391,0.9977475150337872,0.9923746151143807,0.9912793701308094,0.9847079002293815,0.9734661403980078,8
TP_z12_01_s2,35,0.05,1.0,0.35,2,4.8053,0.9969408777807838,0.9889497013714025,0.9858073377312551,0.9767548332050028,0.9509916134268411,10
TP_z12_02,35,0.05,1.0,0.35,1,4.8258,0.9984665754900741,0.9936176385262547,0.9914003895727133,0.9854531891085416,0.9745327199635293,8
TP_z12_02_s2,35,0.05,1.0,0.35,2,4.8337,0.9962140803111488,0.9888904979622235,0.9854976519022695,0.9765810869520244,0.949934832529946,10
TP_z12_03,35,0.05,1.0,0.35,1,4.8366,0.9986767563991233,0.9935905388082538,0.9920191870322128,0.9858991853781582,0.9751685068022992,8
TP_z12_03_s2,35,0.05,1.0,0.35,2,4.8373,0.9962375705455522,0.9890021292869988,0.9858185351332355,0.9764538068757365,0.9494552746366776,10
TP_z13_01,35,0.05,1.2,0.7,1,4.8033,0.9949409780775716,0.98640517977224,0.9825328420044553,0.9731434638685903,0.9552182874273936,8
TP_z13_01_s2,35,0.05,1.2,0.7,2,4.8497,0.9960822318906324,0.9874631420500236,0.983359795451265,0.9803905396210074,0.9386766191723198,11
TP_z13_02,35,0.05,1.2,0.7,1,4.8306,0.9942036185981038,0.9845567838363766,0.980168095060655,0.9703556494017308,0.9526145820394983,8
TP_z13_02_s2,35,0.05,1.2,0.7,2,4.8534,0.9964560926360901,0.9873490748753452,0.983393085259818,0.980178843697202,0.9389088061977171,11
TP_z13_03,35,0.05,1.2,0.7,1,4.8082,0.9939062435006863,0.9855455263924129,0.979805332556882,0.969697599933447,0.9528721766981406,8
