name,serial,type,stage,temp,soc_max,dod,c_ch,c_dch,sampling,n_checkups,cap_initial,cap_final,retention_pct
TP_z01_02_s2,TP_z01_02,z,2,23,0.7,0.3,0.6,1.1,cLH,11,4.8098,4.526,94.1
TP_z01_03,TP_z01_03,z,1,23,0.7,0.3,0.6,1.1,cLH,11,4.8349,4.431,91.65
TP_z01_03_s2,TP_z01_03,z,2,23,0.7,0.3,0.6,1.1,cLH,11,4.7436,4.4661,94.15
TP_z02_01,TP_z02_01,z,1,23,0.65,0.35,0.4,1.5,cLH,5,4.7614,4.1392,86.93
TP_z02_01_s2,TP_z02_01,z,2,23,0.65,0.35,0.4,1.5,cLH,11,4.8335,4.5877,94.91
TP_z02_02,TP_z02_02,z,1,23,0.65,0.35,0.4,1.5,cLH,5,4.7512,4.0137,84.48
TP_z02_02_s2,TP_z02_02,z,2,23,0.65,0.35,0.4,1.5,cLH,11,4.8059,4.5649,94.99
TP_z02_03,TP_z02_03,z,1,23,0.65,0.35,0.4,1.5,cLH,4,4.7573,4.3825,92.12
TP_z02_03_s2,TP_z02_03,z,2,23,0.65,0.35,0.4,1.5,cLH,11,4.8169,4.5723,94.92
TP_z03_01,TP_z03_01,z,1,23,0.8,0.15,0.9,2.0,cLH,11,4.8233,4.3786,90.78
TP_z03_01_s2,TP_z03_01,z,2,23,0.8,0.15,0.9,2.0,cLH,11,4.8196,4.2505,88.19
TP_z03_02,TP_z03_02,z,1,23,0.8,0.15,0.9,2.0,cLH,11,4.7872,4.3737,91.36
TP_z03_02_s2,TP_z03_02,z,2,23,0.8,0.15,0.9,2.0,cLH,11,4.8029,4.2606,88.71
TP_z03_03,TP_z03_03,z,1,23,0.8,0.15,0.9,2.0,cLH,11,4.7938,4.375,91.26
TP_z03_03_s2,TP_z03_03,z,2,23,0.8,0.15,0.9,2.0,cLH,11,4.81,4.265,88.67
TP_z04_01,TP_z04_01,z,1,23,0.8,0.5,0.8,0.3,cLH,5,4.816,4.5325,94.11
TP_z04_01_s2,TP_z04_01,z,2,23,0.8,0.5,0.8,0.3,cLH,8,4.8021,4.6164,96.13
TP_z04_02,TP_z04_02,z,1,23,0.8,0.5,0.8,0.3,cLH,6,4.8175,1.3964,28.99
TP_z04_02_s2,TP_z04_02,z,2,23,0.8,0.5,0.8,0.3,cLH,8,4.8116,4.6125,95.86
TP_z04_03,TP_z04_03,z,1,23,0.8,0.5,0.8,0.3,cLH,8,4.7919,4.5929,95.85
TP_z04_03_s2,TP_z04_03,z,2,23,0.8,0.5,0.8,0.3,cLH,5,4.8134,4.6778,97.18
TP_z05_01,TP_z05_01,z,1,23,0.4,0.05,0.8,0.6,cLH,8,4.8479,4.7479,97.94
TP_z05_01_s2,TP_z05_01,z,2,23,0.4,0.05,0.8,0.6,cLH,8,4.8552,4.8055,98.98
TP_z05_02,TP_z05_02,z,1,23,0.4,0.05,0.8,0.6,cLH,8,4.8609,4.7631,97.99
TP_z05_02_s2,TP_z05_02,z,2,23,0.4,0.05,0.8,0.6,cLH,8,4.8379,4.788,98.97
TP_z05_03,TP_z05_03,z,1,23,0.4,0.05,0.8,0.6,cLH,8,4.8663,4.7638,97.89
TP_z05_03_s2,TP_z05_03,z,2,23,0.4,0.05,0.8,0.6,cLH,8,4.8395,4.7915,99.01
TP_z06_01,TP_z06_01,z,1,23,0.8,0.6,0.5,1.0,cLH,8,4.8551,4.5412,93.53
TP_z06_01_s2,TP_z06_01,z,2,23,0.8,0.6,0.5,1.0,cLH,8,4.8403,4.7472,98.08
TP_z06_02,TP_z06_02,z,1,23,0.8,0.6,0.5,1.0,cLH,8,4.8427,4.5411,93.77
TP_z06_02_s2,TP_z06_02,z,2,23,0.8,0.6,0.5,1.0,cLH,8,4.8408,4.7581,98.29
TP_z06_03,TP_z06_03,z,1,23,0.8,0.6,0.5,1.0,cLH,8,4.8072,4.5171,93.97
TP_z06_03_s2,TP_z06_03,z,2,23,0.8,0.6,0.5,1.0,cLH,8,4.8412,4.7571,98.26
TP_z07_01,TP_z07_01,z,1,35,0.5,0.1,1.0,0.4,cLH,8,4.8519,4.682,96.5
TP_z07_01_s2,TP_z07_01,z,2,35,0.5,0.1,1.0,0.4,cLH,8,4.7821,4.616,96.53
TP_z07_02,TP_z07_02,z,1,35,0.5,0.1,1.0,0.4,cLH,8,4.8389,4.67,96.51
TP_z07_02_s2,TP_z07_02,z,2,35,0.5,0.1,1.0,0.4,cLH,8,4.8044,4.6312,96.39
TP_z07_03,TP_z07_03,z,1,35,0.5,0.1,1.0,0.4,cLH,8,4.862,4.6781,96.22
TP_z07_03_s2,TP_z07_03,z,2,35,0.5,0.1,1.0,0.4,cLH,8,4.7877,4.6073,96.23
TP_z08_01,TP_z08_01,z,1,35,0.55,0.3,0.8,0.5,cLH,8,4.8564,4.6564,95.88
TP_z08_01_s2,TP_z08_01,z,2,35,0.55,0.3,0.8,0.5,cLH,8,4.7665,4.5558,95.58
